Introducción,Chivo expiatorio,Impedimento
"Perdón, hoy no puedo porque",mi celular,se murío delante mío
Te pido mil disculpas ya que,el fantasma de Hitler,no para de contarme chistes y no puedo ir
No se lo que me pasó ya que,el papa Francisco,tiene un ataque de risa
Adivina que:,un match de tinder,me contagió de sífilis
No puedo ir por que:,un payaso triste,me apuñaló
"Ya se que te vas a enojar pero,",un seguidor de twitter,me convirtió al budismo
"Me siento muy apenadx pero,",mi perro,subió mis nudes a Instagram
Lamento muchísimo no poder asistir pero,mi auto,me copió la tarea
Vas a pensar que es un excusa pero:,Adele,se comió mis pantalones
Voy unos minutos tarde porque,el plomero,se llevó las llaves
No quiero ir porque,mi vecino,se perdió
Justo iba de salida pero,un niño flotó sobre mí y,voló un auto con su rayo láser
No voy a llevar lo que me pediste porque,Don Chui de los tacos de $1,hizo pastor a mi gato
Estoy ocupado,don Mike,me inscribió a Herbalife
Por andar de covidiota,el chofer del UAQuibus,me hizo un amarre
Creo que me quedaré en casa,mi computadora,explotó
No inventes...,El perro,rompió mis pantalones
Si pedí el material profe pero a,Ariosto,le hizo daño el kosako
No puedo hacerlo porque ,mi religión,no me lo permite
"Estaré ocupado porque,",unas chelas,se me atravesaron
